Pass Number,DEC 25-31 Scans
11,1
22,1
45,1
56,1
77,2
105,2
108,1
118,2
119,2
122,2
128,1
137,1
142,2
159,1
161,4
213,1
230,2
349,2
354,1
357,1
362,3
363,1
366,2
371,1
397,1
425,2
431,1
440,1
441,1
460,1
461,1
465,1
476,1
499,1
523,2
546,1
551,1
585,1
645,1
738,1
739,3
761,1
835,1
840,2
841,1
850,1
852,1
890,1
921,1
923,1
985,1
995,1
999,1
1007,1
1008,1
1012,1
1032,1
1088,1
1143,1
1164,1
1165,1
1166,1
1174,1
1176,1
1227,2
1238,1
1240,2
1273,1
1274,2
1287,3
1319,4
1320,4
1339,2
1348,1
1389,1
1397,7
1398,2
1461,1
1507,1
1528,1
1546,1
1580,1
1606,1
1641,1
1690,1
1797,1
1798,1
1855,1
1863,1
1881,1
1898,2
1899,2
1902,1
1912,1
2036,1
2038,1
2086,2
2087,1
2089,2
2090,1
2106,1
2128,3
2129,2
2131,2
2192,2
2193,1
2194,1
2212,2
2226,2
2264,2
2265,2
2278,1
2281,1
2282,1
2292,1
2335,1
2339,2
2354,1
2364,1
2370,1
2376,1
2426,1
2466,1
2513,3
2555,1
2568,1
2611,3
2656,2
2668,1
2671,1
2672,1
2689,1
2690,1
2735,1
2736,1
2743,1
2744,2
2768,2
2777,1
2793,2
2807,1
2808,1
2819,1
2842,1
2871,2
2874,1
2923,1
2925,1
2942,1
2953,1
2968,1
2985,2
3057,2
3063,1
3065,1
3066,1
3097,1
3102,1
3103,1
3115,1
3116,1
3117,1
3118,1
3119,1
3163,2
3182,1
3183,1
3199,1
3220,1
3235,3
3430,1
3431,1
3434,2
3435,2
3448,2
3449,2
3533,1
3588,1
3596,1
3604,1
3623,1
3634,7
3656,1
3679,1
3704,1
3749,1
3782,2
3787,1
3817,2
3824,1
3831,1
3839,1
3840,1
3842,1
3843,2
3844,2
3849,1
3850,1
3911,1
3915,2
3916,3
3917,2
3918,2
3919,2
3927,1
3934,2
3937,1
3938,1
3939,1
3941,1
3942,1
3948,1
3949,2
4008,1
4009,1
4017,1
4018,1
4022,2
4025,1
4026,1
4320,3
4323,1
4335,2
4337,2
4340,1
4357,2
4370,1
4380,1
4400,1
4411,1
4421,1
4436,1
4441,1
4445,1
4454,1
4464,1
4479,1
4508,1
4509,1
4514,1
4520,2
4538,1
4542,2
4543,2
4556,2
4557,2
4574,1
4580,1
4581,1
4619,1
4630,1
4655,1
4690,3
4695,1
4696,1
4697,1
4698,1
4699,1
4701,1
4717,1
4720,1
4739,1
4742,2
4759,1
4760,1
4761,1
4762,1
4763,1
4791,2
4819,2
4824,1
4837,1
4884,1
4899,1
4913,3
4915,1
4916,3
4917,1
4936,1
4937,1
4938,1
4940,1
4988,1
4992,2
5018,1
5024,1
5025,1
5026,2
5032,2
5046,1
5050,1
5051,1
5052,1
5053,1
5062,1
5067,2
5069,1
5070,1
5071,2
5074,1
5075,2
5076,1
5078,1
5082,1
5093,2
5107,1
5108,1
5109,3
5113,2
5114,1
5115,1
5119,2
5124,1
5125,1
5126,1
5127,1
5128,1
5129,1
5138,1
5140,1
5141,1
5145,2
5291,3
5311,1
5320,1
5326,2
5331,1
5335,1
5337,2
5343,1
5344,1
5350,1
5352,4
5356,1
5360,1
5375,2
5385,1
5389,1
5396,3
5401,1
5409,1
5415,1
5420,1
5421,1
5430,2
5431,2
5432,1
5452,2
5456,1
5476,4
5484,1
5486,1
5487,1
5490,1
5491,1
5492,1
5493,2
5495,1
5503,1
5514,1
5515,1
5520,1
5521,1
5531,1
5532,4
5533,2
5534,2
5546,2
5547,1
5569,1
5587,1
5588,1
5589,2
5608,1
5610,1
5611,1
5616,1
5617,1
5618,1
5619,1
5635,1
5636,1
5637,1
5638,1
5639,1
5640,1
5650,1
5653,2
5655,1
5657,2
5667,2
5684,1
5799,2
5800,2
