Pass Number,JAN 1-7 Scans
77,1
99,1
105,1
118,1
119,1
127,2
128,2
136,1
140,1
142,2
170,2
270,1
271,1
284,1
285,1
349,2
354,1
357,1
400,1
441,1
465,2
476,1
499,1
523,2
537,2
574,2
599,1
688,1
731,1
738,1
841,1
890,1
988,1
1175,1
1187,1
1189,1
1227,2
1238,1
1249,2
1274,1
1319,1
1320,1
1331,1
1333,1
1389,1
1397,2
1398,1
1424,2
1432,1
1433,1
1507,1
1528,2
1546,2
1580,3
1606,1
1641,1
1756,1
1858,1
1903,1
1985,1
1986,1
1992,1
2020,1
2021,1
2038,2
2086,1
2087,1
2128,1
2129,1
2144,3
2192,3
2195,1
2292,1
2339,2
2354,1
2361,3
2364,1
2407,1
2426,3
2442,1
2501,1
2524,3
2527,1
2553,2
2611,1
2618,2
2631,1
2656,1
2668,1
2671,2
2672,3
2698,1
2768,1
2799,1
2800,1
2801,1
2874,1
2925,1
2928,1
2942,1
2959,1
2968,1
2980,1
2987,1
3022,2
3033,1
3034,1
3035,1
3036,1
3037,1
3044,1
3057,1
3097,1
3102,2
3103,2
3115,3
3117,1
3119,1
3123,1
3163,2
3183,2
3199,2
3235,1
3273,1
3396,1
3430,2
3431,2
3434,1
3435,2
3444,1
3448,1
3449,1
3577,1
3578,1
3588,3
3589,1
3592,2
3596,2
3604,2
3605,3
3634,4
3656,2
3680,1
3709,1
3710,1
3711,1
3724,1
3751,1
3802,1
3803,1
3804,1
3817,1
3824,3
3828,1
3830,1
3834,2
3846,1
3847,1
3848,2
3852,1
3853,1
3907,1
3911,1
3913,3
3914,2
3916,1
3917,2
3918,2
3919,2
3927,1
3928,3
3937,1
3942,1
3948,1
3950,1
4015,1
4022,1
4023,1
4026,1
4027,1
4028,1
4029,2
4030,1
4031,2
4032,2
4033,1
4035,1
4036,1
4039,1
4045,1
4046,1
4049,1
4050,2
4320,1
4323,3
4335,1
4351,1
4357,1
4369,1
4370,1
4381,1
4388,3
4400,1
4405,1
4436,2
4450,1
4457,3
4458,1
4464,2
4479,2
4488,1
4509,1
4520,1
4538,1
4542,2
4543,2
4546,1
4547,1
4552,1
4562,1
4563,1
4574,1
4578,2
4588,1
4594,1
4655,1
4690,1
4695,1
4696,2
4720,1
4737,1
4812,3
4824,2
4825,1
4826,1
4831,1
4841,1
4847,2
4848,2
4853,1
4854,1
4856,1
4879,1
4913,3
4916,2
4917,1
4938,1
4988,1
5000,1
5011,1
5012,1
5016,1
5017,2
5032,2
5034,1
5036,1
5043,2
5045,1
5046,1
5074,1
5079,1
5089,1
5093,4
5107,1
5127,1
5138,1
5145,1
5289,2
5291,2
5292,1
5311,1
5319,1
5320,1
5326,1
5329,1
5335,1
5337,1
5339,1
5344,1
5354,2
5357,1
5362,1
5374,1
5376,1
5383,1
5385,1
5389,1
5392,2
5400,1
5409,2
5415,1
5416,1
5417,1
5426,1
5430,1
5439,1
5440,1
5441,1
5448,2
5449,2
5450,1
5472,1
5473,1
5476,3
5484,2
5485,1
5490,2
5508,2
5509,2
5532,2
5597,2
5598,1
5607,1
5608,2
5609,1
5610,2
5611,2
5612,1
5616,2
5617,1
5618,1
5619,1
5625,1
5627,1
5635,2
5636,1
5637,1
5638,1
5639,1
5640,1
5655,1
5657,1
5668,1
5684,1
5687,1
